Distribution,Max Radius,Seed,Test Log-Likelihood,Tail KL Divergence
Poisson (light-tailed),0.2,0,-1.987605094909668,0.085334138855646
Poisson (light-tailed),0.2,1,-1.981462836265564,0.06107746022951838
Poisson (light-tailed),0.2,2,-1.9827431440353394,0.07215632239957151
Poisson (light-tailed),0.2,3,-1.9847444295883179,0.07519767580226261
Poisson (light-tailed),0.2,4,-1.9813237190246582,0.07838172969578491
Poisson (light-tailed),0.4,0,-1.974635124206543,0.015399774992286498
Poisson (light-tailed),0.4,1,-1.9540367126464844,0.012053813293633059
Poisson (light-tailed),0.4,2,-1.9547182321548462,0.015078060572450178
Poisson (light-tailed),0.4,3,-1.9576802253723145,0.019287375289265975
Poisson (light-tailed),0.4,4,-1.954330563545227,0.02643409583439583
Poisson (light-tailed),0.6,0,-1.9560163021087646,0.003499972280430903
Poisson (light-tailed),0.6,1,-1.9518526792526245,0.006689234478891522
Poisson (light-tailed),0.6,2,-1.9487638473510742,0.004937315388010462
Poisson (light-tailed),0.6,3,-1.9497559070587158,0.0067624193536840165
Poisson (light-tailed),0.6,4,-1.9461839199066162,0.010281783973967697
Poisson (light-tailed),0.8,0,-1.9532296657562256,0.0027765418820366186
Poisson (light-tailed),0.8,1,-1.950266718864441,0.0069525230061370956
Poisson (light-tailed),0.8,2,-1.9485979080200195,0.0028532870291153554
Poisson (light-tailed),0.8,3,-1.948116660118103,0.003340962273600652
Poisson (light-tailed),0.8,4,-1.9450047016143799,0.009266420283545287
Poisson (light-tailed),1.0,0,-1.954259991645813,0.0038513344065049596
Poisson (light-tailed),1.0,1,-1.9502551555633545,0.00774609497405474
Poisson (light-tailed),1.0,2,-1.9492006301879883,0.0020308134254519447
Poisson (light-tailed),1.0,3,-1.949184536933899,0.002170386409641777
Poisson (light-tailed),1.0,4,-1.9442507028579712,0.008876079740739208
Poisson (light-tailed),1.2,0,-1.9546955823898315,0.003087343198886908
Poisson (light-tailed),1.2,1,-1.9504334926605225,0.00869787181697063
Poisson (light-tailed),1.2,2,-1.9499821662902832,0.0018985455132082855
Poisson (light-tailed),1.2,3,-1.950139045715332,0.0017993738272980737
Poisson (light-tailed),1.2,4,-1.9440491199493408,0.008628572722301884
Poisson (light-tailed),1.4,0,-1.9546138048171997,0.0028407526288988776
Poisson (light-tailed),1.4,1,-1.9503822326660156,0.009056406413186132
Poisson (light-tailed),1.4,2,-1.9499351978302002,0.0017808094007383416
Poisson (light-tailed),1.4,3,-1.950519323348999,0.0017016652495536796
Poisson (light-tailed),1.4,4,-1.943990707397461,0.008560151835258416
Poisson (light-tailed),1.6,0,-1.9546008110046387,0.0028290099195596857
Poisson (light-tailed),1.6,1,-1.9503822326660156,0.009056406413186132
Poisson (light-tailed),1.6,2,-1.949849247932434,0.0017039236845090822
Poisson (light-tailed),1.6,3,-1.9505916833877563,0.0017255011246667656
Poisson (light-tailed),1.6,4,-1.9439866542816162,0.008553226121483286
Negative Binomial (heavy-tailed),0.2,0,-3.836636781692505,0.05157693309245736
Negative Binomial (heavy-tailed),0.2,1,-3.836303949356079,0.03638302476513823
Negative Binomial (heavy-tailed),0.2,2,-3.8455302715301514,0.0694988146502328
Negative Binomial (heavy-tailed),0.2,3,-3.8379602432250977,0.04699203462615863
Negative Binomial (heavy-tailed),0.2,4,-3.846055269241333,0.07516318280397456
Negative Binomial (heavy-tailed),0.4,0,-3.811577081680298,0.04313957265567074
Negative Binomial (heavy-tailed),0.4,1,-3.8083817958831787,0.020486255820681986
Negative Binomial (heavy-tailed),0.4,2,-3.82025146484375,0.059736778047848764
Negative Binomial (heavy-tailed),0.4,3,-3.8094160556793213,0.022170721178643486
Negative Binomial (heavy-tailed),0.4,4,-3.8229329586029053,0.06387874071138053
Negative Binomial (heavy-tailed),0.6,0,-3.799454689025879,0.03806686515348897
Negative Binomial (heavy-tailed),0.6,1,-3.7887988090515137,0.015510300724009341
Negative Binomial (heavy-tailed),0.6,2,-3.8065028190612793,0.04918101772895574
Negative Binomial (heavy-tailed),0.6,3,-3.7932305335998535,0.004313580970805248
Negative Binomial (heavy-tailed),0.6,4,-3.8033716678619385,0.04352167661543336
Negative Binomial (heavy-tailed),0.8,0,-3.7885189056396484,0.021522599735015517
Negative Binomial (heavy-tailed),0.8,1,-3.784320831298828,0.01592965598163783
Negative Binomial (heavy-tailed),0.8,2,-3.8059511184692383,0.04180287935490897
Negative Binomial (heavy-tailed),0.8,3,-3.7781615257263184,0.005410895690037074
Negative Binomial (heavy-tailed),0.8,4,-3.801945686340332,0.03757449979326028
Negative Binomial (heavy-tailed),1.0,0,-3.7823829650878906,0.012037201758228214
Negative Binomial (heavy-tailed),1.0,1,-3.7782251834869385,0.007618803364698036
Negative Binomial (heavy-tailed),1.0,2,-3.7964930534362793,0.025275513601498444
Negative Binomial (heavy-tailed),1.0,3,-3.769202947616577,0.006960426161415634
Negative Binomial (heavy-tailed),1.0,4,-3.816293716430664,0.04424232726680206
Negative Binomial (heavy-tailed),1.2,0,-3.7816028594970703,0.010762179929478739
Negative Binomial (heavy-tailed),1.2,1,-3.776975154876709,0.005768453098131029
Negative Binomial (heavy-tailed),1.2,2,-3.7928006649017334,0.022928110847008114
Negative Binomial (heavy-tailed),1.2,3,-3.7732670307159424,0.011804809914737969
Negative Binomial (heavy-tailed),1.2,4,-3.7911813259124756,0.01781728484669083
Negative Binomial (heavy-tailed),1.4,0,-3.7795629501342773,0.008856522682730177
Negative Binomial (heavy-tailed),1.4,1,-3.7776451110839844,0.003671944645480233
Negative Binomial (heavy-tailed),1.4,2,-3.792259693145752,0.022270930375235923
Negative Binomial (heavy-tailed),1.4,3,-3.775510311126709,0.007813889881363997
Negative Binomial (heavy-tailed),1.4,4,-3.7891974449157715,0.016690310649955457
Negative Binomial (heavy-tailed),1.6,0,-3.7792348861694336,0.008328739751190256
Negative Binomial (heavy-tailed),1.6,1,-3.7797532081604004,0.0036705069126032573
Negative Binomial (heavy-tailed),1.6,2,-3.7862586975097656,0.01523260975514594
Negative Binomial (heavy-tailed),1.6,3,-3.775620698928833,0.005183989096031421
Negative Binomial (heavy-tailed),1.6,4,-3.785919427871704,0.013060538905923073
